GrLivArea,OverallQual,Neighborhood,GarageCars,BsmtQual,YearBuilt,MSSubClass,SaleType,Condition1,BsmtExposure,MasVnrArea,KitchenQual,SalePrice
1710,7,CollgCr,2,Gd,2003,60,WD,Norm,No,196.0,Gd,208500
1262,6,Veenker,2,Gd,1976,20,WD,Feedr,Gd,0.0,TA,181500
1786,7,CollgCr,2,Gd,2001,60,WD,Norm,Mn,162.0,Gd,223500
1717,7,Crawfor,3,TA,1915,70,WD,Norm,No,0.0,Gd,140000
2198,8,NoRidge,3,Gd,2000,60,WD,Norm,Av,350.0,Gd,250000
1362,5,Mitchel,2,Gd,1993,50,WD,Norm,No,0.0,TA,143000
1694,8,Somerst,2,Ex,2004,20,WD,Norm,Av,186.0,Gd,307000
1774,7,OldTown,2,TA,1931,50,WD,Artery,No,0.0,TA,129900
1077,5,BrkSide,1,TA,1939,190,WD,Artery,No,0.0,TA,118000
1040,5,Sawyer,1,TA,1965,20,WD,Norm,No,0.0,TA,129500
2324,9,NridgHt,3,Ex,2005,60,New,Norm,No,286.0,Ex,345000
1494,7,CollgCr,3,Gd,2006,20,New,Norm,Av,306.0,Gd,279500
854,7,BrkSide,2,TA,1929,45,WD,Norm,No,0.0,TA,132000
1114,5,SawyerW,2,TA,2004,20,WD,RRAe,No,0.0,Gd,159000
1339,5,NAmes,1,TA,1958,20,COD,Norm,No,0.0,TA,139000
2376,8,NridgHt,3,Ex,2005,60,New,Norm,Av,380.0,Gd,325300
1108,7,IDOTRR,1,TA,1930,45,WD,Norm,No,0.0,Gd,139400
1795,8,CollgCr,2,Gd,2002,20,WD,Norm,No,281.0,Gd,230000
1060,5,MeadowV,2,Gd,1976,120,WD,Norm,No,0.0,TA,129900
1600,8,NridgHt,3,Gd,2007,20,WD,Norm,No,640.0,Gd,256300
900,5,NAmes,2,TA,1951,20,WD,Norm,Mn,0.0,Gd,134800
1704,8,NridgHt,3,Ex,2007,20,WD,Norm,No,200.0,Gd,306000
1600,5,NAmes,1,TA,1957,20,WD,Norm,Gd,0.0,TA,207500
520,4,BrkSide,1,TA,1927,30,WD,Feedr,No,0.0,Fa,68500
1317,4,IDOTRR,1,TA,1920,70,WD,Feedr,No,0.0,TA,40000
1234,8,CollgCr,2,Ex,2007,20,WD,Norm,Av,0.0,Gd,179900
1700,5,NAmes,2,TA,1959,20,WD,Norm,No,0.0,Gd,165500
1561,9,NridgHt,2,Ex,2005,120,WD,Norm,No,246.0,Ex,277500
2452,8,NridgHt,3,Ex,2004,60,WD,Norm,Av,132.0,Gd,309000
1097,5,CollgCr,2,Gd,1994,20,WD,Norm,No,0.0,TA,145000
1297,5,NAmes,2,TA,1954,20,WD,Norm,No,650.0,TA,153000
1057,5,NAmes,1,TA,1953,20,WD,Norm,No,0.0,Gd,109000
1324,6,NAmes,2,TA,1965,20,WD,Norm,No,101.0,TA,160000
1328,5,Timber,1,TA,1959,20,WD,Norm,Gd,0.0,TA,170000
1150,5,NAmes,1,TA,1959,20,WD,Norm,No,0.0,TA,141000
1752,9,NridgHt,2,Ex,2005,120,WD,Norm,No,412.0,Ex,319900
2149,7,Mitchel,2,Ex,2003,50,WD,Norm,No,0.0,Gd,239686
1656,8,Somerst,3,Gd,2006,20,WD,Norm,Av,0.0,Gd,249700
955,5,Sawyer,1,TA,1966,20,WD,Norm,No,0.0,TA,127000
1176,6,BrkSide,2,TA,1934,50,WD,Norm,No,0.0,TA,114500
816,5,IDOTRR,2,Gd,1963,90,WD,RRNn,Gd,0.0,TA,110000
1842,9,Veenker,3,Ex,1981,20,WD,Norm,Gd,0.0,Gd,385000
1360,5,NAmes,2,TA,1955,80,WD,Norm,No,0.0,TA,130000
1425,6,NAmes,2,TA,1964,20,WD,Norm,No,272.0,TA,180500
1739,8,Somerst,2,Gd,1999,160,WD,Norm,No,456.0,Gd,172500
1720,7,CollgCr,2,Gd,2004,60,WD,Norm,No,0.0,Gd,196500
2945,10,StoneBr,3,Ex,2006,60,New,Norm,Gd,1031.0,Gd,438780
780,5,CollgCr,1,TA,1972,20,WD,Norm,Av,0.0,TA,124900
1158,6,SawyerW,2,Gd,2004,20,New,RRAe,No,0.0,Gd,158000
1111,5,IDOTRR,1,TA,1920,75,WD,Norm,No,0.0,Fa,101000
1370,8,NridgHt,2,Gd,2006,120,WD,Norm,Mn,178.0,Gd,202500
1710,7,OldTown,2,TA,1921,70,WD,RRAn,No,0.0,TA,140000
2473,8,NridgHt,3,Ex,2004,60,WD,Norm,Av,344.0,Gd,317000
1479,7,CollgCr,2,Gd,2003,20,WD,Norm,Av,167.0,Gd,226000
747,4,OldTown,1,TA,1945,30,WD,Artery,No,0.0,TA,80000
2287,7,ClearCr,2,TA,1953,50,WD,Norm,No,0.0,TA,225000
2223,7,NAmes,2,Gd,1973,20,WD,Norm,Gd,1115.0,TA,244000
845,4,Mitchel,2,TA,1982,20,WD,Norm,No,0.0,TA,129500
1718,7,Gilbert,2,Gd,1998,60,WD,Norm,No,40.0,TA,185000
1086,5,NAmes,2,TA,1954,20,WD,Norm,No,104.0,TA,144900
1605,3,OldTown,1,Fa,1915,50,WD,Norm,No,0.0,TA,107400
988,4,MeadowV,1,Gd,1973,180,WD,Norm,Gd,0.0,TA,91000
1285,5,BrkSide,1,TA,1948,50,WD,Norm,No,0.0,TA,127000
1230,5,OldTown,2,TA,1910,50,WD,Norm,No,0.0,TA,110000
2142,6,NAmes,1,Gd,1968,60,WD,Norm,No,576.0,Gd,193500
1337,6,Mitchel,2,Ex,1998,120,WD,Norm,No,443.0,TA,153500
1563,8,Somerst,3,Gd,2007,20,WD,Norm,No,468.0,Gd,245000
1065,5,NAmes,2,TA,1960,20,COD,Norm,No,66.0,TA,126500
2417,8,NoRidge,2,Gd,1991,60,WD,Norm,No,284.0,Gd,260000
1560,6,Gilbert,2,Gd,2005,60,WD,Norm,Av,0.0,Gd,174000
1224,6,Somerst,2,Gd,2009,160,New,Norm,Av,76.0,Gd,164500
1235,5,NAmes,2,TA,1961,20,WD,Norm,No,203.0,TA,98600
964,5,Crawfor,2,Gd,1921,30,WD,Norm,No,0.0,TA,163500
2291,6,OldTown,2,TA,1910,190,WD,Norm,Mn,0.0,TA,133900
1786,6,CollgCr,2,Gd,1997,60,WD,Norm,No,0.0,Gd,204750
1588,7,CollgCr,2,Gd,1999,20,WD,Norm,Av,183.0,Gd,214000
960,4,Edwards,1,TA,1965,20,WD,Norm,No,48.0,TA,94750
835,5,Edwards,1,TA,1920,30,COD,Norm,No,0.0,TA,83000
1732,6,SawyerW,2,Gd,1985,60,WD,Norm,No,336.0,Gd,178000
1226,7,CollgCr,3,Gd,2009,20,WD,Norm,No,0.0,Gd,198900
1992,8,Somerst,2,Ex,2003,60,WD,Norm,No,768.0,Gd,250000
1047,4,OldTown,1,Fa,1885,30,WD,Norm,No,0.0,TA,100000
789,5,OldTown,1,TA,1948,20,WD,Norm,No,0.0,TA,115000
1844,6,NWAmes,2,Gd,1977,20,COD,Norm,No,480.0,TA,190000
1855,6,Edwards,1,TA,1954,50,WD,Norm,No,0.0,TA,136900
2696,7,CollgCr,3,Ex,2007,60,New,Norm,Av,220.0,Ex,383970
2320,6,Crawfor,1,TA,1945,70,WD,Norm,No,0.0,Gd,259500
1458,6,Somerst,2,Gd,1999,160,WD,Norm,No,1129.0,TA,176000
1125,5,Edwards,2,Gd,2006,20,New,Norm,No,0.0,TA,155000
3222,7,SawyerW,3,Gd,1990,60,WD,Norm,Mn,0.0,Gd,320000
1456,6,CollgCr,2,Gd,2005,60,New,Norm,No,0.0,Gd,163990
1123,4,IDOTRR,1,TA,1939,50,WD,Norm,No,0.0,TA,100000
1080,6,NAmes,1,TA,1958,20,WD,Norm,No,135.0,TA,136000
1199,6,SawyerW,2,Gd,1993,120,WD,Norm,No,0.0,Gd,153900
1586,6,NWAmes,2,Gd,1979,20,WD,Norm,No,0.0,TA,181000
1348,6,NAmes,2,TA,1966,60,WD,PosN,No,266.0,TA,155000
1053,5,NAmes,2,TA,1958,20,WD,Norm,No,85.0,Ex,150000
2157,7,NAmes,2,TA,1966,60,WD,Norm,No,309.0,Gd,226000
1327,5,NAmes,2,TA,1959,20,WD,Norm,No,0.0,Gd,150750
1721,5,Sawyer,2,TA,1968,20,WD,Norm,No,0.0,TA,180000
1682,7,NWAmes,2,TA,1970,20,WD,Norm,No,288.0,TA,174000
1959,7,Mitchel,3,TA,1988,90,WD,Norm,No,70.0,TA,171000
1852,8,CollgCr,3,Gd,1999,60,WD,Norm,Mn,320.0,Gd,230000
1764,6,CollgCr,2,Gd,1997,60,WD,Norm,No,0.0,Gd,231500
1734,7,CollgCr,2,Gd,2005,20,WD,Norm,Av,0.0,Gd,260000
1385,5,NAmes,2,TA,1952,50,WD,Artery,No,0.0,TA,166000
1501,7,CollgCr,2,Gd,1999,20,WD,Norm,Gd,183.0,Gd,204000
1728,5,Sawyer,2,TA,1963,90,ConLI,RRAe,No,336.0,TA,125000
1709,6,Edwards,2,Gd,2004,160,WD,Norm,No,50.0,Gd,130000
875,5,BrkSide,1,TA,1931,30,WD,Norm,No,0.0,TA,105000
969,5,CollgCr,2,TA,1975,20,WD,Norm,Av,0.0,TA,122000
1710,8,NridgHt,3,Ex,2007,20,New,Norm,Gd,436.0,Gd,372402
1200,6,OldTown,1,TA,1923,30,WD,Norm,No,0.0,TA,125000
1968,8,Timber,3,Ex,2009,60,New,Norm,No,84.0,Ex,269500
1947,7,Somerst,2,Gd,2004,60,WD,Norm,No,0.0,Gd,254900
2462,7,Gilbert,2,Gd,2005,60,New,Norm,Mn,456.0,Gd,320000
2668,9,NridgHt,3,Ex,2003,60,WD,Norm,Av,664.0,Ex,412500
1541,7,NridgHt,2,Gd,2005,20,New,Norm,Mn,226.0,Gd,220000
1616,6,OldTown,1,TA,1926,40,WD,Norm,Mn,0.0,Gd,152000
2161,8,NridgHt,3,Ex,2007,60,New,Norm,No,300.0,Ex,325624
1720,7,Gilbert,2,Gd,2004,60,WD,Norm,No,0.0,Gd,183500
1656,6,NAmes,2,TA,1960,20,WD,Norm,Gd,112.0,TA,215000
1767,7,StoneBr,2,Gd,1987,160,WD,Norm,No,0.0,Gd,239000
1362,6,NAmes,2,TA,1961,20,COD,Norm,No,491.0,TA,163000
1651,6,Timber,2,Gd,1986,20,WD,Norm,No,132.0,TA,184000
2158,6,Edwards,2,TA,1950,20,WD,Norm,Av,0.0,Gd,243000
2060,6,ClearCr,2,Gd,1988,60,WD,Norm,No,268.0,TA,211000
2234,9,StoneBr,3,Ex,2008,20,New,Norm,No,748.0,Ex,501837
968,5,OldTown,2,TA,1923,30,WD,Norm,No,0.0,TA,100000
1802,7,Crawfor,1,Fa,1920,70,WD,Norm,No,0.0,TA,200100
2082,7,OldTown,2,Gd,2003,50,WD,Norm,No,0.0,Gd,200000
1252,5,BrkSide,2,Fa,1908,50,WD,RRAn,No,0.0,TA,127000
3608,10,OldTown,3,TA,1892,75,WD,Artery,Mn,0.0,Ex,475000
1656,5,OldTown,1,Fa,1916,50,WD,Norm,No,0.0,TA,135000
1224,5,SawyerW,2,Gd,1979,90,WD,Feedr,Av,275.0,TA,153337
1593,8,StoneBr,2,Ex,2001,120,WD,Norm,Av,0.0,Ex,286000
2727,8,Crawfor,2,Gd,1932,70,WD,Norm,No,0.0,Gd,315000
1431,7,CollgCr,2,Gd,1999,20,WD,Norm,Av,0.0,Gd,192000
1709,7,Edwards,2,Gd,2004,160,WD,Norm,No,50.0,Gd,130000
864,5,CollgCr,1,TA,1972,20,WD,Norm,Av,0.0,TA,127000
1456,6,NPkVill,2,Gd,1976,160,WD,Norm,No,0.0,TA,148500
1726,7,Somerst,3,Ex,2007,20,New,Norm,No,205.0,Ex,311872
3112,8,NAmes,2,TA,1918,75,WD,Artery,No,0.0,Gd,235000
1713,8,NridgHt,3,Ex,2004,20,WD,Norm,Av,262.0,Ex,274900
1121,4,Edwards,2,Gd,2003,20,WD,Norm,No,0.0,TA,140000
1279,6,Mitchel,2,TA,1977,20,WD,Norm,No,0.0,TA,171500
1310,6,OldTown,1,Fa,1924,50,COD,Artery,No,0.0,TA,112000
1284,5,OldTown,1,TA,1947,50,WD,Norm,No,0.0,TA,110000
1442,7,Gilbert,2,Gd,1990,20,WD,Norm,No,0.0,TA,180500
1696,5,Sawyer,1,TA,1962,20,WD,RRAe,No,0.0,TA,143900
1092,6,NAmes,2,Gd,1964,20,WD,Norm,No,260.0,TA,145000
1212,6,Edwards,2,Gd,2009,20,WD,Norm,Mn,0.0,Gd,186000
1852,7,Somerst,2,Gd,2009,60,New,Norm,No,0.0,Gd,252678
990,5,CollgCr,2,Gd,1995,20,WD,Norm,No,0.0,TA,156000
1236,5,NAmes,1,TA,1957,20,WD,Norm,No,64.0,Gd,134450
1436,7,CollgCr,2,Gd,2004,20,WD,Norm,Mn,266.0,Gd,210000
1328,4,OldTown,1,TA,1925,70,WD,Norm,No,0.0,TA,107000
1248,7,Blmngtn,2,Gd,2005,120,New,Norm,Av,16.0,Gd,167240
1498,7,CollgCr,2,Gd,2006,20,New,Norm,Mn,0.0,Gd,204900
1552,6,NWAmes,2,Gd,1975,60,WD,RRAn,No,0.0,TA,179900
864,4,NAmes,2,TA,1971,20,WD,Norm,No,0.0,TA,97000
2392,10,NridgHt,3,Ex,2003,20,WD,Norm,Gd,922.0,Ex,386250
1302,5,BrDale,1,TA,1971,160,COD,Norm,No,142.0,TA,112000
2520,7,NoRidge,3,Gd,1995,60,WD,Norm,No,290.0,Gd,290000
987,6,BrDale,1,TA,1970,160,WD,Norm,No,127.0,TA,106000
912,5,Sawyer,1,TA,1967,20,WD,Feedr,No,0.0,TA,125000
1555,7,Blmngtn,2,Gd,2005,120,WD,Norm,Av,16.0,Gd,192500
1194,6,NAmes,1,TA,1959,20,WD,Norm,No,220.0,TA,148000
2794,8,NoRidge,3,Gd,1995,60,WD,Norm,No,506.0,Ex,403000
987,6,BrDale,1,TA,1972,160,WD,Norm,No,297.0,TA,94500
894,5,CollgCr,1,TA,1976,20,WD,Norm,Av,0.0,TA,128200
987,6,BrDale,1,TA,1971,160,WD,Norm,No,604.0,TA,89500
1414,7,CollgCr,2,Gd,2004,20,WD,Norm,Av,98.0,Gd,185500
1694,8,NridgHt,3,Ex,2007,20,New,Norm,No,254.0,Gd,318000
1487,6,Edwards,1,TA,1945,50,WD,Norm,No,0.0,TA,113000
1566,8,Somerst,2,Gd,2008,20,WD,Norm,Av,36.0,Gd,262500
1440,5,OldTown,1,TA,1900,50,WD,Norm,No,0.0,TA,79000
1217,6,SawyerW,1,Gd,1980,160,WD,Norm,No,0.0,TA,120000
1872,7,NWAmes,2,Gd,1988,20,WD,Norm,Av,102.0,TA,241500
1928,6,OldTown,1,Fa,1910,190,WD,Norm,No,0.0,Fa,137000
1375,6,NAmes,2,TA,1954,20,WD,Norm,No,0.0,TA,140000
1668,7,CollgCr,2,Gd,2003,60,WD,Norm,No,101.0,Gd,180000
1625,8,Crawfor,2,Gd,2006,120,WD,Norm,Gd,481.0,Gd,235000
1640,6,SawyerW,2,Gd,2004,60,WD,Norm,No,0.0,Gd,173000
1302,6,NAmes,1,Gd,1964,80,CWD,Norm,Gd,108.0,Gd,158000
1314,5,NAmes,1,TA,1957,20,WD,Norm,No,0.0,TA,145000
2291,7,Gilbert,2,Gd,1999,60,WD,Norm,No,302.0,Gd,230000
1728,6,Somerst,2,Gd,2003,60,WD,Norm,No,0.0,Gd,207500
1604,7,CollgCr,2,Gd,2006,20,WD,Norm,No,180.0,Gd,220000
1792,7,CollgCr,2,Gd,2001,60,WD,Norm,No,172.0,Gd,231500
1382,6,NAmes,2,TA,1962,80,WD,Artery,Gd,399.0,TA,176000
2574,8,CollgCr,3,Ex,2007,60,New,Norm,No,270.0,Ex,276000
1212,6,Sawyer,2,Gd,1977,80,WD,Norm,Av,46.0,TA,151000
1316,5,OldTown,2,TA,1929,50,WD,Norm,No,0.0,TA,130000
764,5,OldTown,2,Fa,1925,30,WD,Artery,No,0.0,TA,73000
1422,6,NWAmes,2,Gd,1981,20,WD,Norm,No,210.0,Gd,175500
1511,6,Gilbert,2,Gd,1997,60,WD,Norm,Av,0.0,TA,185000
2192,5,SWISU,1,TA,1939,75,WD,Norm,No,0.0,Gd,179500
778,5,IDOTRR,1,TA,1940,30,WD,Norm,No,0.0,TA,120500
1939,8,Somerst,3,Gd,2006,60,New,Norm,Mn,0.0,Gd,266000
1363,7,ClearCr,2,Gd,1954,20,WD,Norm,Gd,0.0,TA,241500
2270,8,NoRidge,3,Gd,1999,60,WD,Norm,No,348.0,Gd,290000
1632,6,NAmes,1,TA,1958,20,WD,Feedr,No,183.0,TA,139000
816,5,Mitchel,1,TA,1982,20,WD,Norm,Gd,0.0,TA,124500
1548,7,BrkSide,2,TA,1925,50,WD,Norm,No,0.0,Ex,205000
1560,7,Mitchel,2,Ex,2003,20,WD,Norm,No,0.0,Gd,201000
864,4,Gilbert,2,TA,1951,20,WD,Norm,No,0.0,TA,141000
2121,9,NridgHt,3,Ex,2006,20,New,Norm,Gd,315.0,Ex,415298
2022,7,ClearCr,2,Gd,1977,60,WD,Norm,No,299.0,TA,192000
1982,7,SawyerW,2,Gd,1989,60,WD,Norm,Av,340.0,Gd,228500
1262,6,Somerst,2,Gd,2006,20,New,Norm,No,68.0,Gd,185000
1314,7,NridgHt,2,Gd,2007,120,ConLw,Norm,No,166.0,Gd,207500
1468,8,Somerst,3,Gd,2008,20,New,Feedr,No,72.0,Gd,244600
1575,6,SawyerW,2,Gd,1992,120,WD,Norm,No,0.0,Gd,179200
1250,7,Somerst,2,Gd,2006,160,New,Norm,No,0.0,Gd,164700
1734,6,NAmes,2,TA,1962,50,WD,Norm,No,0.0,Gd,159000
1396,6,BrkSide,1,TA,1915,70,WD,RRAn,No,0.0,TA,153575
1919,8,CollgCr,2,Gd,2006,60,New,Norm,Av,0.0,Gd,233230
1716,5,Edwards,1,TA,1949,50,WD,Norm,No,0.0,TA,131000
1644,6,NAmes,2,TA,1953,20,WD,Norm,No,238.0,TA,167000
1003,6,Mitchel,2,TA,1984,80,WD,Norm,Av,0.0,TA,142500
1558,5,IDOTRR,1,TA,1950,50,WD,Norm,No,0.0,TA,152000
1950,7,Somerst,2,Gd,1997,60,WD,Norm,No,1600.0,Gd,239000
1743,6,NWAmes,2,TA,1968,60,WD,Norm,No,365.0,TA,175000
1152,6,Crawfor,1,TA,1950,20,WD,Norm,No,0.0,Gd,158500
1336,5,Crawfor,1,TA,1953,190,WD,Norm,Mn,56.0,TA,157000
2452,8,CollgCr,2,Gd,1998,60,WD,Norm,No,0.0,Gd,267000
1541,7,CollgCr,3,Gd,2001,20,WD,Norm,No,150.0,Gd,205000
894,5,CollgCr,2,TA,1972,20,WD,Norm,No,0.0,TA,149900
3493,7,OldTown,3,TA,1880,75,WD,Norm,No,0.0,Gd,295000
2000,8,CollgCr,3,Gd,2004,20,WD,Norm,No,246.0,Gd,305900
2243,7,SawyerW,3,Gd,1990,60,WD,Feedr,No,246.0,Gd,225000
1944,9,NridgHt,3,Ex,2003,20,WD,Norm,Gd,0.0,Ex,360000
972,6,NAmes,1,TA,1948,20,WD,Norm,No,0.0,TA,132000
1118,5,OldTown,2,Gd,1939,190,WD,Artery,Mn,0.0,TA,119900
2036,7,Timber,2,Gd,1965,20,WD,Norm,Gd,0.0,TA,375000
1641,7,OldTown,2,TA,1925,70,WD,Norm,No,0.0,Ex,178000
1432,7,Gilbert,2,Gd,2004,60,WD,Norm,No,0.0,Gd,188500
2353,7,NWAmes,2,Gd,1980,60,WD,Norm,No,278.0,Ex,260000
1959,8,Somerst,3,Gd,2006,60,WD,Norm,Av,0.0,Gd,270000
2646,7,NoRidge,3,Gd,1993,60,WD,Norm,Gd,256.0,Gd,260000
2596,9,NridgHt,3,Ex,2006,60,New,Norm,Av,370.0,Gd,342643
2468,8,NridgHt,3,Ex,2004,60,WD,Norm,Av,388.0,Gd,354000
2730,7,SawyerW,2,TA,1986,60,WD,Norm,Gd,172.0,Gd,301000
1163,3,OldTown,1,TA,1955,20,WD,Norm,No,0.0,TA,126175
2978,7,NAmes,2,Gd,1967,80,WD,PosN,No,300.0,Gd,242000
803,5,IDOTRR,2,TA,1941,45,WD,RRAe,Av,0.0,TA,87000
1719,8,Veenker,2,Gd,1993,120,Con,Norm,Gd,0.0,Gd,324000
1383,6,NAmes,1,TA,1960,20,WD,Norm,No,175.0,TA,145250
1192,5,IDOTRR,1,TA,1920,70,WD,Norm,Mn,0.0,TA,78000
1056,5,NAmes,1,TA,1958,20,WD,Norm,No,0.0,TA,139000
1358,7,NridgHt,2,Gd,2004,120,WD,Norm,Av,146.0,Gd,207000
1638,6,Gilbert,2,Gd,1998,60,WD,Norm,Gd,0.0,TA,192000
1922,9,StoneBr,3,Ex,2005,20,WD,Norm,Gd,200.0,Gd,377426
1536,7,CollgCr,2,Gd,2002,20,WD,Norm,Av,113.0,Gd,214000
1621,7,NWAmes,2,Gd,1984,20,WD,Norm,Mn,0.0,Gd,202500
1215,6,NAmes,1,TA,1958,20,WD,Feedr,No,176.0,TA,155000
1908,8,Timber,2,Gd,2002,60,WD,Norm,No,0.0,Gd,202900
841,4,SawyerW,1,TA,1950,20,WD,Feedr,No,0.0,TA,82000
1684,9,NridgHt,2,Ex,2005,120,WD,Norm,No,616.0,Ex,266000
1112,5,MeadowV,1,Gd,1976,160,WD,Norm,No,0.0,TA,85000
1577,6,BrkSide,1,TA,1939,50,WD,RRAn,No,0.0,Fa,140200
1626,7,NridgHt,2,Gd,2003,160,WD,Norm,No,106.0,Gd,154000
2728,9,NridgHt,3,Ex,2005,60,New,Norm,No,870.0,Ex,437154
1869,9,NridgHt,2,Ex,2007,120,New,Norm,No,362.0,Ex,318061
1111,5,Edwards,1,TA,1941,50,ConLw,Artery,Mn,0.0,TA,95000
720,6,OldTown,2,TA,1928,30,WD,Norm,No,0.0,TA,105900
1595,6,SWISU,1,TA,1940,50,WD,Norm,No,0.0,TA,140000
1200,6,CollgCr,2,Gd,1995,20,WD,Norm,No,0.0,Gd,177500
1142,5,MeadowV,2,Gd,1976,120,WD,Norm,No,0.0,TA,134000
